2025-10-17 | 19:00:27 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'pruebadam1'
2025-10-17 | 19:26:26 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'pruebadam1'
2025-10-19 | 22:33:29 | Conexión a la DB | Conexión cerrada correctamente
2025-10-19 | 22:35:56 | Conexión a la DB | Conexión cerrada correctamente
2025-10-19 | 22:36:25 | Conexión a la DB | Conexión cerrada correctamente
2025-10-19 | 22:37:43 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-19 | 22:39:19 | Conexión a la DB | Conexión cerrada correctamente
2025-10-19 | 22:40:02 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-19 | 22:43:16 | Conexión a la DB | Conexión cerrada correctamente
2025-10-19 | 22:43:25 | Conexión a la DB | Conexión cerrada correctamente
2025-10-19 | 22:43:48 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-19 | 22:43:56 | Conexión a la DB | Conexión cerrada correctamente
2025-10-19 | 22:44:30 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-19 | 22:52:43 | Conexión a la DB | Conexión cerrada correctamente
2025-10-19 | 22:52:51 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-19 | 22:56:13 | Conexión a la DB | Conexión cerrada correctamente
2025-10-19 | 22:56:30 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-20 | 01:19:42 | Conexión a la DB | Conexión cerrada correctamente
2025-10-20 | 01:21:12 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-20 | 01:22:34 | Conexión a la DB | Conexión cerrada correctamente
2025-10-20 | 01:23:20 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-20 | 01:26:37 | Conexión a la DB | Conexión cerrada correctamente
2025-10-20 | 01:27:02 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-20 | 01:29:26 | Conexión a la DB | Conexión cerrada correctamente
2025-10-20 | 01:30:02 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-20 | 01:31:01 | Conexión a la DB | Conexión abierta correctamente
2025-10-20 | 01:31:27 | Conexión a la DB | Conexión abierta correctamente
2025-10-20 | 01:31:30 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-20 | 01:31:36 | Conexión a la DB | Conexión abierta correctamente
2025-10-20 | 01:31:38 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-20 | 01:31:42 | Conexión a la DB | Conexión abierta correctamente
2025-10-20 | 01:31:56 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-20 | 03:04:03 | Conexión a la DB | Conexión abierta correctamente
2025-10-20 | 03:04:23 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-20 | 03:05:20 | Conexión a la DB | Conexión abierta correctamente
2025-10-20 | 03:07:17 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-23 | 14:11:52 | Conexión a la DB | Conexión abierta correctamente
2025-10-23 | 14:14:11 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-23 | 17:38:22 | Conexión a la DB | Conexión abierta correctamente
2025-10-23 | 17:38:50 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-23 | 17:44:08 | Conexión a la DB | Conexión abierta correctamente
2025-10-23 | 17:44:26 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-23 | 17:44:29 | Conexión a la DB | Conexión abierta correctamente
2025-10-24 | 19:07:56 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'facturadbdam'
2025-10-24 | 19:08:03 | Conexión a la DB | Conexión abierta correctamente
2025-10-24 | 19:12:26 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'facturadbdam'
2025-10-24 | 19:12:51 | Conexión a la DB | Conexión abierta correctamente
2025-10-24 | 19:13:53 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-24 | 19:13:57 | Conexión a la DB | Conexión abierta correctamente
2025-10-24 | 19:17:56 | Conexión a la DB | Conexión abierta correctamente
2025-10-24 | 19:19:45 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-24 | 19:25:21 | Conexión a la DB | Conexión abierta correctamente
2025-10-24 | 19:25:59 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-24 | 19:26:02 | Conexión a la DB | Conexión abierta correctamente
2025-10-24 | 19:26:28 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-24 | 20:30:32 | Conexión a la DB | Conexión abierta correctamente
2025-10-24 | 20:30:47 | Desonexión de la DB | Conexión cerrada correctamente.
2025-10-30 | 13:34:50 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2025-10-30 | 13:35:07 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2025-10-30 | 13:35:34 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2025-10-30 | 13:36:59 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2025-10-30 | 13:37:15 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
2025-10-30 | 13:37:53 | Conexión a la DB | Error al intentar la conexión a la base de datos.Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'dbfacturadam'
